epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,4675.55,0.85922,1.31835,0.56855,1.01236,0.88152,0.87853,0.92213,0.68899,0.87979,0.87705,0.92234,0.67145,1.07704,1.72556,0.65335,1.21842,0.00055188,0.00055188,0.00055188
64,4749.54,0.87196,1.33017,0.57338,1.02116,0.88733,0.87276,0.9182,0.69115,0.89316,0.86859,0.92322,0.66914,1.087,1.64783,0.64878,1.2299,0.000537733,0.000537733,0.000537733
65,4824.23,0.85592,1.3241,0.54878,1.00983,0.88707,0.89385,0.92523,0.68622,0.89856,0.89362,0.93316,0.67535,1.09785,1.68755,0.63104,1.2611,0.000523586,0.000523586,0.000523586
66,4897.47,0.85727,1.32205,0.55308,1.01912,0.92149,0.90026,0.94003,0.70297,0.91876,0.89793,0.9381,0.6852,1.06984,1.63903,0.62053,1.20917,0.000509438,0.000509438,0.000509438
67,4971.29,0.84179,1.28875,0.53415,1.00912,0.89966,0.88409,0.91989,0.67941,0.90057,0.88241,0.91669,0.67046,1.089,1.70538,0.66157,1.24655,0.000495291,0.000495291,0.000495291
68,5044.52,0.85288,1.31696,0.54443,1.00813,0.9179,0.90461,0.92726,0.69051,0.92244,0.91146,0.94019,0.67256,1.08968,1.6922,0.60829,1.25185,0.000481144,0.000481144,0.000481144
69,5117.25,0.84382,1.26443,0.53175,0.9997,0.89614,0.87508,0.92242,0.69621,0.90239,0.88092,0.93267,0.6796,1.0885,1.69217,0.63009,1.24623,0.000466997,0.000466997,0.000466997
70,5189.71,0.82595,1.26867,0.52503,1.0023,0.87864,0.89534,0.92359,0.69789,0.88431,0.897,0.93205,0.67962,1.10555,1.71726,0.61556,1.2649,0.00045285,0.00045285,0.00045285
71,5262.38,0.80727,1.23626,0.5056,0.99452,0.89836,0.87991,0.92317,0.68932,0.90092,0.88193,0.9214,0.6794,1.10863,1.68788,0.61587,1.26567,0.000438703,0.000438703,0.000438703
72,5335.02,0.83199,1.2762,0.52804,0.99563,0.88504,0.86866,0.91481,0.69862,0.89302,0.87566,0.92234,0.68181,1.0613,1.69368,0.62234,1.24018,0.000424556,0.000424556,0.000424556
73,5407.57,0.82423,1.26288,0.50659,0.99513,0.90998,0.87198,0.93442,0.70505,0.89584,0.89719,0.94171,0.69486,1.08606,1.65545,0.59444,1.23358,0.000410409,0.000410409,0.000410409
74,5480.3,0.8007,1.23166,0.49185,0.98341,0.91039,0.88533,0.93978,0.69649,0.88176,0.90866,0.93494,0.68479,1.08783,1.67987,0.58552,1.24874,0.000396262,0.000396262,0.000396262
75,5554,0.8021,1.22415,0.49235,0.99035,0.88978,0.89297,0.93049,0.7016,0.89846,0.90116,0.94169,0.68964,1.10161,1.68033,0.60278,1.26263,0.000382115,0.000382115,0.000382115
76,5625.85,0.7929,1.22836,0.49442,0.98636,0.91095,0.87969,0.92779,0.70273,0.91987,0.88965,0.93508,0.68846,1.09362,1.70259,0.60234,1.25448,0.000367967,0.000367967,0.000367967
77,5698.92,0.79401,1.21676,0.49692,0.9791,0.89366,0.89138,0.93026,0.7005,0.89366,0.89138,0.93283,0.69105,1.10262,1.74273,0.60465,1.25733,0.00035382,0.00035382,0.00035382
78,5771.79,0.78755,1.19585,0.47991,0.97863,0.91231,0.88793,0.9281,0.69632,0.91499,0.89026,0.92613,0.68373,1.08428,1.74365,0.61484,1.24427,0.000339673,0.000339673,0.000339673
79,5845.9,0.78421,1.21041,0.48455,0.97945,0.89827,0.88735,0.92886,0.69989,0.90084,0.88968,0.93168,0.6898,1.10099,1.7168,0.61744,1.26068,0.000325526,0.000325526,0.000325526
80,5919.47,0.78399,1.21177,0.48711,0.97877,0.90286,0.88918,0.92763,0.69596,0.88381,0.90485,0.92544,0.68458,1.09832,1.75764,0.59879,1.26415,0.000311379,0.000311379,0.000311379
81,5993.03,0.78707,1.20581,0.48388,0.97762,0.91857,0.88246,0.93937,0.70092,0.91857,0.88246,0.9367,0.6903,1.07684,1.70983,0.5999,1.23297,0.000297232,0.000297232,0.000297232
82,6066.69,0.77915,1.20001,0.48159,0.97492,0.90463,0.87793,0.93359,0.69324,0.90561,0.88038,0.93358,0.68021,1.09962,1.77553,0.60842,1.25573,0.000283085,0.000283085,0.000283085
83,6140.63,0.76485,1.20158,0.46427,0.96737,0.89861,0.90707,0.93903,0.69562,0.89861,0.90707,0.94151,0.68405,1.11514,1.75564,0.61009,1.27422,0.000268938,0.000268938,0.000268938
84,6214.59,0.76553,1.17755,0.46158,0.97998,0.92552,0.89204,0.94108,0.70522,0.92072,0.89451,0.94708,0.69343,1.07034,1.73099,0.5916,1.24258,0.000254791,0.000254791,0.000254791
85,6287.13,0.76337,1.17364,0.45132,0.97002,0.8996,0.90687,0.93433,0.70525,0.89613,0.90347,0.93057,0.68744,1.10127,1.75019,0.61263,1.25727,0.000240644,0.000240644,0.000240644
86,6360.85,0.74715,1.15971,0.45358,0.96121,0.90421,0.89834,0.93757,0.7065,0.91032,0.90424,0.9445,0.69023,1.06618,1.75263,0.59348,1.23647,0.000226497,0.000226497,0.000226497
87,6433.68,0.74351,1.16518,0.44871,0.96402,0.90681,0.87691,0.93287,0.70618,0.90335,0.89097,0.93589,0.68954,1.07555,1.76507,0.59236,1.23921,0.000212349,0.000212349,0.000212349
88,6506.45,0.74528,1.1526,0.43452,0.96342,0.88247,0.90383,0.93801,0.70893,0.90955,0.88365,0.93827,0.69318,1.06242,1.71554,0.59115,1.22667,0.000198202,0.000198202,0.000198202
89,6579.17,0.74326,1.16137,0.44833,0.96201,0.90465,0.88638,0.93243,0.70716,0.90465,0.88638,0.93145,0.69523,1.07589,1.75929,0.60577,1.25777,0.000184055,0.000184055,0.000184055
90,6652.27,0.73397,1.15128,0.451,0.95739,0.92884,0.8895,0.93906,0.70412,0.91848,0.88486,0.92999,0.69312,1.08909,1.75926,0.59689,1.26011,0.000169908,0.000169908,0.000169908
91,6727.88,0.69773,1.09493,0.37307,0.96618,0.89853,0.89489,0.9302,0.70197,0.90116,0.89714,0.92733,0.68911,1.07992,1.75823,0.60436,1.24507,0.000155761,0.000155761,0.000155761
92,6799.12,0.66414,1.05329,0.33902,0.94804,0.93671,0.88215,0.93572,0.70879,0.94037,0.88546,0.9372,0.69223,1.08564,1.74849,0.5931,1.25184,0.000141614,0.000141614,0.000141614
93,6870.08,0.65665,1.03694,0.34258,0.939,0.91685,0.88936,0.93533,0.70851,0.9084,0.90603,0.94034,0.69492,1.06985,1.78225,0.58568,1.25261,0.000127467,0.000127467,0.000127467
94,6941.61,0.65452,1.0294,0.33536,0.9442,0.9217,0.91671,0.94524,0.71328,0.92425,0.91904,0.94707,0.69931,1.07593,1.74622,0.58931,1.25586,0.00011332,0.00011332,0.00011332
95,7012.92,0.64419,1.02713,0.33354,0.93292,0.91116,0.89729,0.93793,0.71058,0.91373,0.89962,0.9408,0.6931,1.06889,1.7777,0.60402,1.24204,9.91726e-05,9.91726e-05,9.91726e-05
96,7083.94,0.63537,1.01229,0.33002,0.92988,0.93402,0.87913,0.94129,0.70844,0.93771,0.88271,0.94381,0.69748,1.06882,1.79129,0.58323,1.25234,8.50255e-05,8.50255e-05,8.50255e-05
97,7155.73,0.62881,1.01649,0.32365,0.92627,0.90047,0.91101,0.9425,0.71611,0.89804,0.90867,0.93709,0.70349,1.06112,1.80063,0.59227,1.24245,7.08784e-05,7.08784e-05,7.08784e-05
98,7226.86,0.62295,1.01491,0.32264,0.9239,0.91386,0.90867,0.94071,0.71628,0.91386,0.90867,0.94541,0.70366,1.0806,1.78096,0.57983,1.26637,5.67313e-05,5.67313e-05,5.67313e-05
99,7298.98,0.62112,0.9926,0.32059,0.92367,0.908,0.90265,0.93925,0.71831,0.908,0.90265,0.94056,0.70066,1.0683,1.79094,0.59568,1.25403,4.25842e-05,4.25842e-05,4.25842e-05
100,7369.9,0.60635,0.99294,0.31624,0.91514,0.91418,0.89935,0.94224,0.72063,0.91418,0.89935,0.94313,0.70394,1.07893,1.79064,0.58617,1.27907,2.84371e-05,2.84371e-05,2.84371e-05
